link,title,date,director,starring,margaret,david,imdb,imdb_rating
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1035,Bowling For Columbine,,Michael Moore,Michael Moore; Marilyn Manson; Charlton Heston,5.0,4.5,tt0310793,7.9
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1037,Sweet Home Alabama,,Andy Tennant,Reese Witherspoon; Josh Lucas; Patrick Dempsey,3.0,no score,tt0256415,6.2
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1038,Lord Of The Rings: The Two Towers,,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen; Sean Astin; Billy Boyd; Liv Tyler; John Rhys-Davies; Orlando Bloom;,4.0,4.5,tt0167261,8.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1039,The Quiet American,,Pillip Noyce,Michael Caine; Brendan Fraser; Do Thi Hai Yen,4.0,4.5,tt0258068,7.0
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=104,Charade,,,,no score,4.0,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1040,Two Weeks Notice,,Marc Lawrence,Sandra Bullock; Hugh Grant,3.5,3.0,tt0313737,6.1
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1041,Satin Rouge,,Raja Amari,Hiyam Abbas; Hend El Fahem; Maher Kamoun,no score,4.0,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1042,Mostly Martha,,Sandra Nettelbeck,Martina Gedeck; Maxime Foerste; Sergio Castellitto,3.0,3.5,tt0246772,7.2
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1043,Human Nature,,Michel Gondry,Tim Robbhins; Patricia Arquette; Miranda Otto; Rhys Ifans,no score,3.5,tt0219822,6.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1045,Catch Me If You Can,,Steven Spielberg,Tom Hanks; Leonardo Dicaprio; Christopher Walkin; Nathalie Baye,3.0,3.5,tt0264464,8.1
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1048,The Man From Elysian Fields,,George Hickenlooper,Mick Jagger; Andy Garcia; James Coburn; Olivia Williams; Julianna Margulies; Anjelica Houston,no score,3.5,tt0265307,6.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1049,Standing In The Shadows Of Motown,,Paul Justman,Richard 'Pistol' Allen; Jack Ashford; Bob Babbitt; Benny 'Papa Zita' Benjamin; Eddie 'Bongo' Brown; Bootsy Collins; Johnny Griffith; Ben Harper,4.0,no score,tt0314725,7.8
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=105,Charlie`s Angels,,Joseph McGinty Nichol,Drew Barrymore; Cameron Diaz; Lucy Liu,4.0,3.0,tt0160127,5.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1050,Chicago,,Rob Marshall,Catherine Zeta-Jones; Renée Zellweger; Richard Gere,5.0,4.5,tt0299658,7.1
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1051,Frailty,,Bill Paxton,Bill Paxton; Powers Boothe; Matthew McConaughey; Matthew O'Leary; Jeremy Sumpter,4.0,3.5,tt0264616,7.2
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1052,Far From Heaven,,Todd Haynes,Julianne Moore; Dennis Quaid; Dennis Haysbert,4.5,4.0,tt0297884,7.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1053,About Schmidt,,Alexander Payne,Jack Nicholson; Hope Davis; Dermot Mulroney; Kathy Bates,3.5,4.5,tt0257360,7.1
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1054,Talk To Her,,Pedro Almodovar,Javier Cámara; Darío Grandinetti; Leonor Watling; Rosario Flores; Geraldine Chaplin,5.0,4.5,tt0287467,7.9
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1055,Gangs Of New York,,Martin Scorcese,leonardo DiCaprio; Daniel Day-Lewis; Liam Neeson; Cameron Diaz,3.0,3.0,tt0217505,7.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1056,The Hours,,Stephen Daldry,Nicole Kidman; Julianne Moore; Meryl Streep; Stephen Dillane; John C. Reilly; Jack Novello; Ed Harris,5.0,4.5,tt0274558,7.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1057,Solaris,,Steven Soderbergh,George Clooney; Natascha McElhone,4.0,4.0,tt0307479,6.2
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1058,The Rules Of Attraction,,Roger Avary,James Van Der Beek; Shannyn Sossamon; Jessica Biel; Ian Somerhalder,3.5,3.0,tt0292644,6.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1059,Jackass: The Movie,,Jeff Tremaine,Johnny Knoxville; Bam Margera; Chris Pontius; Steve-O; Dave England; Ryan Dunn; Jason Acuņa,2.0,no score,tt0322802,6.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=106,Chicken Run,,Peter Lord and Nick Park,Mel Gibson; Jane Horrocks,4.5,4.0,tt0120630,7.0
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1060,Swimming Upstream,,Russell Mulcahy,Geoffrey Rush; Judy Davis; Jesse Spencer; Tim Draxl; David Hoflin; Craig Horner; Brittany Byrnes,4.0,3.5,tt0326664,7.1
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1061,The Kid Stays In The Picture,,Brett Morgen; Nanette Burstein,Robert Evans; Norma Shearer; Francis Ford Coppola; Dustin Hoffman; Roman Polanski,4.0,4.0,tt0303353,7.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1062,Moneyshot,,,Jenny Apostolou; Marie-Claire Aston; Melissa Bell; Susie Benton ; Tony Bonner; Robert Carlton,no score,1.0,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1063,Making Venus,,Gary Doust,,3.5,4.0,tt0325774,8.0
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1064,The Recruit,,Roger Donaldson,Al Pacino; Colin Farrell; Bridget Moynahan,3.0,3.0,tt0292506,6.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1065,Roger Dodger,,Dylan Kidd,Campbell Scott; Jesse Eisenberg; Isabella Rossellini; Elizabeth Berkley,4.0,3.5,tt0299117,6.9
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1066,Moonlight Mile,,Brad Silberling,Jake Gyllenhaal; Dustin Hoffman; Susan Sarandon,3.5,4.0,tt0179098,6.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1068,The Pianist,,Roman Polanski,Adrien Brody,3.5,3.0,tt0253474,8.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1069,Maid In Manhattan,,Wayne Wang,Ralph Fiennes; Jennifer Lopez; Natasha Richardson; Stanley Tucci; Tyler Posey,1.5,no score,tt0252076,5.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=107,Children of Heaven,,Majid Majidi,,4.5,4.5,tt0118849,8.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1070,Serving Sara,,Reginald Hudlin,Mathew Perry; Elizabeth Hurley; Vincent Pastore; Bruce Campbell; Cedric the Entertainer,no score,1.5,tt0261289,5.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1073,The Truth About Charlie,,Jonathan Demme,Thandie Newton; Mark Wahlberg; Christine Boisson,0.5,2.5,tt0270707,4.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1074,Antwone Fisher,,Denzel Washington,Denzel Washington; Derek Luke; Malcolm David Kelley; Cory Hodges; Joy Bryant,3.5,no score,tt0168786,7.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1075,Knockaround Guys,,David Levien; Brian Koppelman,Barry Pepper; Andrew Davoli; Seth Green; Vin Diesel; John Malkovich,no score,2.0,tt0211465,6.1
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1076,The Man Without A Past,,Aki Kaurismäki,Markku Peltola; Kati Outinen; Annikki Tähti; Juhani Niemelä,4.0,4.5,tt0311519,7.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1077,City Of God,,Kátia Lund; Fernando Meirelles,Matheus Nachtergaele; Seu Jorge; Alexandre Rodrigues; Leandro Firmino da Hora,3.5,3.0,tt0317248,8.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1079,Daredevil,,Mark Steven Johnson,Ben Affleck; Jennifer Garner; Colin Farrell; Michael Clarke Duncan; Jon Favreau,3.0,3.0,tt0287978,5.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=108,Children of the Marshland,,Jean Becker,,2.5,3.0,tt0167926,7.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1080,The Emperor's Club,,Michael Hoffman,Kevin Kline; Emile Hirsch; Embeth Davidtz; Rob Morrow,3.0,2.5,tt0283530,6.9
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1081,Tape,,Richard Linklater,Ethan Hawke; Uma Thurman; Robert Sean Leonard,4.0,1.5,tt0275719,7.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1083,Battle Royale,,Kinji Fukasaku,Tatsuya Fujiwara; Aki Maeda; Taro Yamamoto,no score,2.0,tt0266308,7.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1084,Ned Kelly,,Gregor Jordan,Heath Ledger; Orlando Bloom; Geoffrey Rush; Naomi Watts,3.0,4.0,tt0277941,6.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1085,Sweet Sixteen,,Ken Loach,Martin Compston; Annmarie Fulton; William Ruane; Michelle Abercromby,3.0,4.5,tt0313670,7.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1086,In Shifting Sands,,Scott Ritter,,no score,4.0,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1087,Cradle 2 The Grave,,Andrzej Bartkowiak,Jet Li; DMX; Anthony Anderson; Kelly Hu; Tom Arnold,1.0,2.0,tt0306685,5.8
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1088,The Rookie,,John Lee Hancock,Dennis Quaid; Rachel Griffiths; Jay Hernandez; Beth Grant,3.5,no score,tt0265662,6.9
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1089,Tuck Everlasting,,Jay Russell,Alexis Bledel; William Hurt; Sissy Spacek; Jonathan Jackson; Scott Bairstow; Ben Kingsley,3.0,no score,tt0283084,6.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=109,Chinese Box,,Wayne Wang,,4.0,3.0,tt0118851,6.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1090,Minor Mishaps,,Annette K. Olesen,Jørgen Kiil; Maria Rich; Henrik Prip; Jesper Christensen,3.5,3.5,tt0306079,6.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1091,Bringing down the House,,Adam Shankman,Steve Martin; Queen Latifah; Eugene Levy; Joan Plowright,3.0,2.5,tt0305669,5.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1093,Read my Lips,,Jacques Audiard,Vincent Cassel; Emmanuelle Devos; Olivier Gourmet; Olivier Perrier,4.0,4.0,tt0274117,7.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1094,What A Girl Wants,,Dennie Gordon,Amanda Bynes; Colin Firth; Kelly Preston; Anna Chancellor,0.5,no score,tt0286788,5.8
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1095,Punch-Drunk Love,,Paul Thomas Anderson,Adam Sandler; Emily Watson; Philip Seymour Hoffman; Luis Guzmán,4.5,4.0,tt0272338,7.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1096,All or Nothing,,Mike Leigh,Timothy Spall; Lesley Manville; Alison Garland; James Corden,3.5,3.5,tt0286261,7.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1097,Fat Pizza,,Paul Fenech,Paul Fenech; Paul Nakad; John Boxer; Tahir Bilgic; Annalise Braakensiek,3.0,3.0,tt0340110,5.8
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=11,"Pornographic Affair, A",,Frederic Fonteyne,,4.0,4.0,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=110,Chopper,,Andrew Dominik,,4.5,4.5,tt0221073,7.2
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1100,Kangaroo Jack,,David McNally,Jerry O'Connell; Anthony Anderson; Estella Warren; Christopher Walken,no score,1.0,tt0257568,4.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1101,Anger Management,,Peter Segal,"Adam Sandler, Jack Nicholson; Marisa Tomei",3.5,2.5,tt0305224,6.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1102,Nowhere In Africa,,Caroline Link,Juliane Köhler; Regine Zimmermann; Merab Ninidze; Matthias Habich; Gabrielle Odinis; Lea Kurka; Sidede Onyulo; Andrew Sachs ; Karoline Eckertz,3.5,3.5,tt0161860,7.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1103,Shanghai Knights,,David Dobkin,Jackie Chan; Owen Wilson; Donnie Yen; Aidan Gillen; Fann Wong,3.5,2.5,tt0300471,6.2
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1104,The Magdalene Sisters,,Peter Mullan,Geraldine McEwan; Anne-Marie Duff; Nora-Jane Noone; Dorothy Duffy; Eileen Walsh; Mary Murray ; Britta Smith; Frances Healy; Eithne McGuinness; Geraldine McEwan,4.5,4.0,tt0318411,7.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1105,Real Women Have Curves,,Patricia Cardoso,America Ferrera; Lupe Ontiveros; Ingrid Oliu,3.0,3.0,tt0296166,6.8
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1106,The Good Girl,,Miguel Arteta,Jennifer Aniston; Zooey Deschanel; Jake Gyllenhaal; John Carroll Lynch; Tim Blake Nelson; John C. Reilly; Deborah Rush,3.5,4.0,tt0279113,6.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1107,How To Lose A Guy In 10 Days,,Donald Petrie,Kate Hudson; Matthew McConaughey,2.0,3.0,tt0251127,6.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1108,Ripley's Game,,Liliana Cavani,John Malkovich; Dougray Scott; Ray Winstone; Lena Headey; Chiara Caselli,3.5,4.0,tt0265651,6.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1109,Russian Ark,,Aleksandr Sokurov,Sergei Dontsov; Mariya Kuznetsova; Leonid Mozgovoy; David Giorgobiani; Sergei Dreiden,5.0,5.0,tt0318034,7.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=111,Christmas Oratio,,Kjell-Ake Anderson,,no score,3.5,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1110,X-Men 2,,Bryan Singer,Patrick Stewart; Hugh Jackman; Ian McKellen; Halle Berry; Famke Janssen; James Marsden; Rebecca Romijn-Stamos; Brian Cox; Alan Cumming; Bruce Davison; Anna Paquin,3.5,3.5,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1111,Alexandra's Project,,Rolf De Heer,Helen Buday; Gary Sweet; Bogdan Koca,4.0,4.0,tt0338706,6.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1112,Marie-Jo And Her Two Loves,,Robert Guédiguian,Ariane Ascaride; Jean-Pierre Darroussin; Gérard Meylan; Julie-Marie Parmentier; Jacques Boudet,3.5,4.0,tt0293401,6.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1113,Anita &amp; Me,,Metin Hüseyin,Kabir Bedi; Max Beesley; Sanjeev Bhaskar; Anna Brewster; Kathy Burke; Ayesha Dharker; Omid Djalili; Alex Freeborn; Lynn Redgrave; Chandeep Uppal,2.5,2.0,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1114,Whale Rider,,Niki Caro,Keisha Castle-Hughes; Rawiri Paratene; Vicky Haughton; Cliff Curtis; Grant Roa; Mana Taumaunu,4.0,4.0,tt0298228,7.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1115,Who Is Cletis Tout?,,Chris Ver Wiel,Tim Allen; Christian Slater; Portia De Rossi; Richard Dreyfuss; Billy Connolly,3.0,3.5,tt0246500,6.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1116,Open Hearts,,Susanne Bier,Mads Mikkelsen; Sonja Richter; Nikolaj Lie Kaas; Paprika Steen; Stine Bjerregaard; Birthe Neumann; Niels Olsen,4.0,3.0,tt0315543,7.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1117,Spider,,David Cronenberg,Ralph Fiennes; Miranda Richardson; Gabriel Byrne; Lynn Redgrave; John Neville; Bradley Hall,4.0,4.0,tt0278731,6.8
